Membership No  Date Joined  Active  
    50766      2019-11-25   yes   
    19172      2017-2-25    no    
    77166      2015-6-17    yes   
    14898      2015-3-12    yes   
    34193      2018-4-15    yes   
    18910      2020-1-15    yes   
    39112      2015-10-2    yes   
    43724      2015-11-2    yes   
    91427      2017-9-1     yes   
    11248      2018-2-9     no    
    76761      2018-1-12    no    
    99955      2015-2-25    yes   
    78279      2020-4-20    yes   
    45877      2016-4-3     yes   
    71714      2017-6-8     yes   
    81969      2020-10-17   no    
    48492      2015-12-4    yes   
    95942      2020-8-16    yes   
    58328      2015-6-23    no    
    64126      2019-2-15    yes   
